Name;Location;Type;Company;Date;Duration;Time;Price;Seats;isChildren;isSeniors;pickUp;Score;ID
Borgin-thin;Capital;skodunarferd;Hofudborgin;04-07-2017;3;1200;7000;23;true;true;false;8.0;71
Borgin-thin;Capital;skodunarferd;Hofudborgin;05-07-2017;3;1200;7000;23;true;true;false;8.0;72
Adrenalinferdin-mikla;East;skidaferd;Thinarferdir;25-11-2017;4.5;1100;14000;14;false;false;true;7.2;73
Adrenalinferdin-mikla;East;skidaferd;Thinarferdir;26-11-2017;4.5;1100;14000;14;false;false;true;7.1;74
Adrenalinferdin-mikla;East;skidaferd;Thinarferdir;02-12-2017;4.5;1100;14000;10;false;false;true;8.8;75
Adrenalinferdin-mikla;East;skidaferd;Thinarferdir;03-12-2017;4.5;1100;14000;7;false;false;true;9.3;76
Adrenalinferdin-mikla;East;skidaferd;Thinarferdir;09-12-2017;4.5;1100;14000;14;false;false;true;7.8;77
Adrenalinferdin-mikla;East;skidaferd;Thinarferdir;10-12-2017;4.5;1100;14000;14;false;false;true;8.0;78
Adrenalinferdin-mikla;East;skidaferd;Thinarferdir;16-12-2017;4.5;1100;14000;14;false;false;true;7.6;79
Adrenalinferdin-mikla;East;skidaferd;Thinarferdir;17-12-2017;4.5;1100;14000;14;false;false;true;8.2;80
Fjallgangan;Northwest;gonguferd;Fjallshlid;03-06-2017;6;0900;10000;5;false;false;true;8.1;81
Fjallgangan;Northwest;gonguferd;Fjallshlid;03-06-2017;6;1200;10000;5;false;false;true;6.4;82
Fjallgangan;Northwest;gonguferd;Fjallshlid;04-06-2017;6;0900;10000;5;false;false;true;5.3;83
Fjallgangan;Northwest;gonguferd;Fjallshlid;04-06-2017;6;1200;10000;4;false;false;true;3.1;84
Fjallgangan;Northwest;gonguferd;Fjallshlid;15-07-2017;6;0900;10000;5;false;false;true;9.0;85
Fjallgangan;Northwest;gonguferd;Fjallshlid;16-07-2017;6;1200;10000;5;false;false;true;5.0;86
Fjallgangan;Northwest;gonguferd;Fjallshlid;22-07-2017;6;0900;10000;5;false;false;true;4.9;87
Fjallgangan;Northwest;gonguferd;Fjallshlid;23-07-2017;6;1200;10000;5;false;false;true;5.1;88
